iter	Logloss
0	0.6860369047
1	0.6789162954
2	0.6718225479
3	0.6649804513
4	0.6579788129
5	0.65061601
6	0.6436039209
7	0.6367949645
8	0.6303898493
9	0.6223833958
10	0.6154896816
11	0.6093030373
12	0.5973904133
13	0.5914645195
14	0.585572799
15	0.5797580083
16	0.5740791957
17	0.5684367816
18	0.5629760424
19	0.5575225353
20	0.5518455505
21	0.5465548833
22	0.5387243032
23	0.5335529645
24	0.5277245045
25	0.5226917267
26	0.5174852212
27	0.5125336647
28	0.505329291
29	0.5005985896
30	0.4953591029
31	0.4905249278
32	0.4840252797
33	0.477790912
34	0.4735733668
35	0.4694236914
36	0.4602359931
37	0.4550259113
38	0.4485950867
39	0.4447503885
40	0.4403426647
41	0.436158816
42	0.4300955931
43	0.4221138954
44	0.4142179489
45	0.4103734493
46	0.405987064
47	0.4003434181
48	0.395381848
49	0.3920102517
50	0.3887236118
51	0.3845395247
52	0.3789579074
53	0.3750737508
54	0.3701697985
55	0.3672655821
56	0.3637092908
57	0.3570999702
58	0.3539359967
59	0.3509714206
60	0.3482282559
61	0.3419274092
62	0.3391124805
63	0.3344547749
64	0.3302930991
65	0.3265647093
66	0.3235749801
67	0.3173223337
68	0.3147282402
69	0.3088586926
70	0.306070586
71	0.3024063905
72	0.2997415463
73	0.2956518332
74	0.2919363578
75	0.2884015838
76	0.2852373719
77	0.2814006408
78	0.2766455015
79	0.27394255
80	0.2705928683
81	0.2675180435
82	0.2648771405
83	0.2610270182
84	0.2564386924
85	0.2533218861
86	0.2502984007
87	0.2462064028
88	0.242903471
89	0.2406169375
90	0.2365362446
91	0.2322955926
92	0.2284521063
93	0.2261803349
94	0.2223838568
95	0.2187824647
96	0.2150928577
97	0.2116313378
98	0.2092239459
99	0.2060403426
100	0.2026788791
101	0.1994799773
102	0.1963462035
103	0.1936920881
104	0.1914563974
105	0.1898923318
106	0.187333405
107	0.185391585
108	0.183561643
109	0.1815922658
110	0.1796174447
111	0.1767623623
112	0.1739737988
113	0.171130379
114	0.1694520911
115	0.1668175062
116	0.1641412973
117	0.1615823507
118	0.1588266194
119	0.1562646429
120	0.1536985536
121	0.1515611211
122	0.1496163607
123	0.1474483609
124	0.1457725962
125	0.1434912682
126	0.1410249869
127	0.1396888196
128	0.1375949184
129	0.1353657246
130	0.1332144936
131	0.1312315861
132	0.1300146182
133	0.127904733
134	0.1267245313
135	0.1248155435
136	0.1230007509
137	0.1211167574
138	0.1192836761
139	0.1175276041
140	0.1163130403
141	0.1147265236
142	0.1130324602
143	0.111543417
144	0.1098785102
145	0.1089185874
146	0.1072196563
147	0.1057634155
148	0.1042251289
149	0.1030327678
150	0.1020055016
151	0.1007166008
152	0.09924536943
153	0.09778273106
154	0.09652938445
155	0.09530688326
156	0.09390918414
157	0.09268377225
158	0.09146797657
159	0.09061012665
160	0.0892436405
161	0.08800069491
162	0.08699929714
163	0.08585731188
164	0.08485013247
165	0.08383180698
166	0.08286258578
