iter	Passed	Remaining
0	210	210504
1	306	153039
2	349	116262
3	390	97266
4	433	86196
5	479	79408
6	518	73596
7	564	69963
8	611	67292
9	647	64144
10	727	65384
11	766	63129
12	808	61369
13	863	60839
14	910	59757
15	948	58304
16	993	57444
17	1042	56883
18	1087	56152
19	1127	55271
20	1188	55423
21	1239	55097
22	1278	54317
23	1330	54118
24	1378	53743
25	1413	52937
26	1446	52118
27	1479	51343
28	1539	51539
29	1600	51742
30	1667	52113
31	1730	52340
32	1812	53122
33	1860	52846
34	1895	52260
35	1932	51743
36	1963	51094
37	1999	50629
38	2035	50147
39	2070	49694
40	2105	49241
41	2145	48942
42	2229	49608
43	2271	49358
44	2335	49555
45	2388	49539
46	2438	49440
47	2480	49195
48	2524	48990
49	2566	48758
50	2610	48571
51	2657	48446
52	2689	48056
53	2729	47809
54	2764	47501
55	2800	47202
56	2836	46925
57	2875	46707
58	2918	46540
59	2951	46244
60	2985	45954
61	3018	45660
62	3052	45401
63	3094	45256
64	3134	45088
65	3176	44955
66	3229	44976
67	3262	44713
68	3301	44539
69	3338	44358
70	3380	44230
71	3416	44031
72	3451	43823
73	3485	43615
74	3518	43391
75	3552	43185
76	3585	42976
77	3617	42765
78	3648	42533
79	3678	42305
80	3709	42091
81	3738	41850
82	3769	41646
83	3806	41506
84	3843	41373
85	3871	41151
86	3900	40928
87	3930	40735
88	3960	40536
89	3994	40391
90	4025	40209
91	4060	40079
92	4104	40029
93	4137	39881
94	4168	39707
95	4197	39524
96	4227	39350
97	4262	39233
98	4313	39253
99	4362	39259
100	4413	39281
101	4449	39177
102	4480	39015
103	4510	38862
104	4540	38706
105	4570	38549
106	4598	38381
107	4634	38280
108	4678	38241
109	4725	38235
110	4764	38161
111	4798	38045
112	4831	37925
113	4877	37910
114	4921	37877
115	4964	37831
116	5004	37769
117	5043	37695
118	5081	37622
119	5125	37585
120	5161	37497
121	5201	37437
122	5242	37381
123	5281	37314
124	5319	37239
125	5359	37179
126	5397	37099
127	5437	37044
128	5485	37035
129	5531	37017
130	5572	36963
131	5606	36865
132	5642	36784
133	5689	36768
134	5729	36712
135	5761	36605
136	5790	36476
137	5822	36370
138	5854	36263
139	5888	36175
140	5918	36056
141	5963	36033
142	6009	36015
143	6054	35992
144	6111	36036
145	6169	36084
146	6219	36089
147	6259	36031
148	6297	35966
149	6335	35901
150	6377	35855
151	6416	35799
152	6454	35730
153	6494	35679
154	6533	35616
155	6567	35533
156	6655	35737
157	6703	35722
158	6731	35605
159	6762	35502
160	6792	35396
161	6826	35314
162	6861	35232
163	6901	35180
164	6944	35143
165	7007	35204
166	7070	35269
